O I** 1306  1306.0286 0.04873   5.750e8
O II 834     834.4654 0.13200	8.430e8
O III 702    702.3370 0.13700   6.170e8 
O III 832    832.9270 0.10600   3.410e8
O IV 554     554.076  0.22400   4.860e9 
O IV 553     553.330  0.11200   1.220e9  
O IV 608     608.3980 0.06710	1.210e9
O IV 787     787.7110 0.11100   5.950e8
O V 629      629.7320 0.51500   2.890e9  
O VI 1031   1031.9261 0.132500  4.149e8  
O VI 1037   1037.6167 0.065800  4.076e8
Ne V 568    568.4200 0.110000  7.700e8  
Ne VI 558   558.6000 0.092000  9.800e8  
Ne VIII 770  770.4089 0.103000  5.790e8
Ne VIII 780  780.3240 0.050500  5.530e8  
Na I 5891   5891.583  0.655000  6.300e7
Na I 5897   5897.558  0.327000  6.280e7
Na I 3303.3   3303.320  0.013400  2.000E8
Na I 3303.9   3303.930  0.006700  2.000E8
Mg I 2852   2852.964  1.810000  4.950e8
Mg I 2026   2026.477  0.112000  1.200e8
Mg I 1827   1827.935  0.024500  2.000E8
Mg I 1747   1747.7937 0.009343  6.800e6
Mg I 1707   1707.061  0.004142  3.160e6
Mg II 2796  2796.352  0.6123    2.612e8  
Mg II 2803  2803.531  0.3054    2.592e8  
Mg II 1240  1240.3947 0.0001337 5.796e5  
Mg II 1239  1239.9253 0.0002675 5.802e5
Mg X 609     609.7930 0.084200  7.550e8
Mg X 624     624.9410 0.041000  7.000e8 
Al I 3945   3945.122  0.116934  2.000E8  
Al I 3083   3083.048  0.177427  2.000E8
Al I 2367   2367.0530 0.1211    7.204e7
Al I 2263   2263.4634 0.1017    6.616e7
Al II 1670  1670.787  1.880000  1.460e9
Al III 1862 1862.790  0.268000  2.000E8
Al III 1854 1854.716  0.539000  2.000E8
Si I 2515   2515.073  0.162000  2.000E8
Si I 1845   1845.520  0.229000  1.496e8
Si I 1631   1631.1705 0.2051    1.714e8
Si I 1562   1562.002  0.3758    3.425e8
Si II 2335  2335.123  3.720E-6  7.550e3   
Si II 1808  1808.0126 0.00208   6.749e6
Si II 1526  1526.7070 0.133000  1.130E9   	
Si II 1304  1304.3702 0.086300  1.010E9   	
Si II 1260  1260.4221 1.180000  2.950E9   
Si II 1193  1193.2897 0.582000  4.070e9   
Si II 1190  1190.4158 0.292000  4.080E9   	 
Si II 1020  1020.6989 0.016800  6.680e8   
Si II 989    989.8731 0.171000  6.673e8   
Si II* 1533 1533.431  0.229300  1.960E9   	 
Si II* 1265 1265.002  0.100400  2.533E9   
Si II* 1264 1264.738  0.903400  2.512E9   
Si II* 1197 1197.394  0.124300  3.495e9   
Si II* 1194 1194.500  0.623300  3.503E9   
Si III 1206 1206.500  1.660000  2.590e9
Si IV 1393  1393.7602 0.513000  8.800e8
Si IV 1402  1402.7729 0.254000  8.620e8
P I 1774   1774.9487 0.1543    2.177e8
P II 1301   1301.874  0.017250  2.263E7   
P II 1152   1152.818  0.236100  3.950E8   
P II 963     963.801  1.458000  3.490E9   
P II 961     961.041  0.348900  8.400E8   
P III 1334  1334.813  0.025290  5.659E7   
P III 998    998.000  0.111700  2.220E9   
P III 917    917.118  0.404900  4.792E9   
P III 913    913.968  0.203100  4.804E9   
P IV 950     950.657  1.163     2.860e9  
P V 1128    1128.008  0.2345    1.229e9  
P V 1117    1117.977  0.4732    1.263e9  
S I 1807    1807.3113 0.1105    6.700e8  
S I 1473    1473.9943 0.07296   1.600e8  
S I 1425    1425.0299 0.1918    4.500e8  
S I 1295    1295.6531 0.1233    4.900e8  
S II 1259   1259.519  0.01624   4.560e7  
S II 1253   1253.811  0.01088   4.620e7  
S II 1250   1250.584  0.005453  5.260e7  
S III 1190  1190.208  0.02217   6.232e7  
S III 1012  1012.502  0.03550   2.281e8  
S IV 1062   1062.662  0.03999   1.410e8
S IV 748     748.393  0.50000   5.950e9
S V 786      786.468  1.42000   5.100e9  
S VI 944     944.523  0.2181    1.631e9  
S VI 933     933.378  0.4414    1.690e9  
Cl I 1347   1347.2396 0.1186    5.088e8  
Ar I 1066   1066.660  0.06652   1.300e8  
Ar I 1048   1048.2199 0.2441    4.940e8  
Ca I 4227   4227.918  1.753     2.180e8  
Ca II 3934  3934.777  0.6346    1.456e8  
Ca II 3969  3969.591  0.3145    1.414e8  
Ti II 3384  3384.740  0.3401    1.730e8  
Ti II 3242  3242.929  0.1832    2.350e8  
Ti II 3230  3230.131  0.05861   2.350e8  
Ti II 3073  3073.877  0.1091    2.500e8  
Ti II 3067  3067.245  0.04655   2.500e8  
Ti III 1298 1298.697  0.09057   6.266e8  
Cr II 2066  2066.161  0.06982   1.636e8  
Cr II 2062  2062.234  0.1049    1.646e8  
Cr II 2056  2056.254  0.1403    1.660e8  
Mn II 2606  2606.462  0.1927    2.648e8  
Mn II 2594  2594.499  0.2710    2.685e8  
Mn II 2576  2576.877  0.3508    2.741e8  
Mn II 1201  1201.118  0.08809   5.702e8  
Mn II 1199  1199.391  0.1059    4.911e8  
Mn II 1197  1197.184  0.1566    5.670e8  
Fe I 3720   3720.993  0.041190  2.000E8  
Fe I 3021   3021.5189 0.10390   2.000E8  
Fe I 2967   2967.7646 0.043800  1.270E8  
Fe I 2719   2719.8329 0.122000  1.750E8  
Fe I 2523   2523.6083 0.203000  3.850E8  
Fe I 2501   2501.8858 0.049600  3.850E8  
Fe I 2484   2484.0209 0.544000  5.000E8  
Fe I 2463   2463.3922 0.053200  5.000E8  
Fe I 2167   2167.453  0.150000  2.000E8  
Fe II 2600  2600.1729 0.22390   2.700e8
Fe II 2586  2586.6500 0.069100  2.720E8  
Fe II 2382  2382.7652 0.32000   3.130E8  
Fe II 2374  2374.4612 0.031300  3.090E8   
Fe II 2367  2367.5905 0.000021  3.070e8     
Fe II 2344  2344.2139 0.114000  2.680e8      
Fe II 2260  2260.7805 0.00244   4.849e6
Fe II 2249  2249.8768 0.00182   4.138e6
Fe II 1901  1901.7730 0.0001009 2.327E5 
Fe II 1611  1611.2005 0.001345  7.141e5
Fe II 1608  1608.4449 0.055450  1.996e8
Fe II 1588  1588.6876 0.0001239 4.092e5
Fe II 1260  1260.533  0.025000  1.312E8   
Fe II 1144  1144.9379 0.083000  4.450E8  
Fe II 1143  1143.226  0.019200  6.790e7  
Fe II 1142  1142.3656 0.004010  3.195e7  
Fe II 1133  1133.6654 0.004720  2.000E8  
Fe II 1127  1127.0984 0.001120  2.000E8  
Fe II 1125  1125.4477 0.015600  2.000E8  
Fe II 1121  1121.9748 0.029000  2.000E8  
Fe II 1106  1106.3596 0.000394  2.000E8  
Fe II 1096  1096.8769 0.032000  2.000E8  
